Year,yearly_total,NT,MB,SK,YT,QC,ON,AB,BC,NU,NL,NB,NS,PE,-,UCA,UOR,UWA,UID,UNV,UMT,UUT,UTX,UWY,UCO,UOK,UFL,UKS,UGA,UAL,UNM,UND,UAK,UAR,UAZ,ULA,UMS,UMO,UMN,UNC,USC,UIA,UVA,UIL,UNE,UTN,UWI,UPA,UMI,UOH,UIN,UKY,USD,UWV,UNY,UNJ,UMA,UMD,UDE,URI,UME,UCT,UNH,UVT,M
2013,174845,22537,18584,10950,5657,34185,1688,2635,4673,5,1120,84,29,6,72692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,311128,142922,3496,15754,109,1260,729,6136,40243,177,957,67,31,2,99245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,539233,57131,10739,147156,11911,291,3382,74413,48215,8,217,403,92,1,185274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,298913,26824,5485,23464,1799,1553,3784,35907,14945,8,655,183,123,12,184171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,1039334,175648,30625,79499,25992,1086,13688,15879,271156,69,25,239,37,17,425374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,813089,2799,27587,19355,10816,5866,27366,12040,368045,35,55,354,63,13,62891,50441,38008,26831,16616,13651,12437,11257,9200,9120,9037,7144,6252,5891,5850,5107,4735,4486,4150,3725,3716,3056,2982,2697,2566,2249,2155,1820,1391,1170,1154,983,903,878,664,617,614,581,536,379,251,114,99,95,52,34,33,33,28,16,0
2019,545337,24536,16276,16095,64697,598,36941,136911,33087,400,45,169,67,17,14711,11222,5551,7811,6219,538,3033,2221,11214,1075,1445,5385,7281,6678,6609,5352,2024,3727,66851,6484,7977,5780,3683,2567,2805,2805,2330,2107,1360,1170,1120,1141,781,771,590,506,551,563,240,379,158,207,151,107,50,40,50,29,38,11,0
2020,987400,1459,9846,10519,968,3908,3415,4501,12721,37,214,110,54,26,16768,443120,117135,28621,33704,6218,11258,13938,19148,19526,52384,6785,9686,8035,10633,10234,12249,7898,7591,8801,44781,8222,5282,4303,3643,3132,2763,2400,1345,1853,1455,1230,561,807,321,839,424,722,1143,242,419,219,106,80,73,55,71,13,22,9,9355
2021,1842085,31018,170378,165447,19883,4608,140823,13718,239067,48,79,339,21,30,3295,367436,88943,86909,62460,3543,52482,2721,32699,2316,5092,26182,30445,23676,29380,20343,8334,5133,13639,17965,25501,15293,8006,11344,5578,7441,9760,5921,2846,3664,4373,2863,1793,1654,1153,1735,1483,2050,2384,805,383,707,208,329,125,49,62,65,25,6,56027
Total,7406148,622351,378631,598058,230781,112093,285893,373166,1118955,1973,9661,2354,793,145,1218307,872219,249637,150172,118999,23950,79210,30137,72261,32037,67958,45496,53664,44280,52472,41036,27342,21244,92231,36975,81975,32351,19953,20911,14592,15627,17008,12248,6942,7857,8102,6217,4038,4110,2728,3697,3072,3916,4303,1805,1211,1247,564,611,300,178,216,140,113,42,65382
