year,instance,filename
2021,2021_329,2021_329 2021-10-19 fwi.npy
2021,2021_335,2021_335 2021-10-12 fwi.npy
2021,2021_34,2021_34 2021-04-21 fwi.npy
2021,2021_34,2021_34 2021-04-22 fwi.npy
2021,2021_35,2021_35 2021-04-22 fwi.npy
2021,2021_35,2021_35 2021-04-25 fwi.npy
2021,2021_35,2021_35 2021-04-26 fwi.npy
2021,2021_35,2021_35 2021-04-27 fwi.npy
2021,2021_35,2021_35 2021-05-12 fwi.npy
2021,2021_35,2021_35 2021-05-13 fwi.npy
2021,2021_40,2021_40 2021-04-27 fwi.npy
2021,2021_43,2021_43 2021-04-29 fwi.npy
2021,2021_43,2021_43 2021-04-30 fwi.npy
2021,2021_43,2021_43 2021-05-01 fwi.npy
2021,2021_5,2021_5 2021-03-03 fwi.npy
2021,2021_5,2021_5 2021-03-16 fwi.npy
2021,2021_51,2021_51 2021-05-07 fwi.npy
2021,2021_51,2021_51 2021-05-08 fwi.npy
2021,2021_51,2021_51 2021-05-09 fwi.npy
2021,2021_51,2021_51 2021-05-11 fwi.npy
2021,2021_51,2021_51 2021-05-12 fwi.npy
2021,2021_51,2021_51 2021-05-13 fwi.npy
2021,2021_51,2021_51 2021-05-14 fwi.npy
2021,2021_51,2021_51 2021-05-15 fwi.npy
2021,2021_52,2021_52 2021-05-09 fwi.npy
2021,2021_52,2021_52 2021-05-10 fwi.npy
2021,2021_52,2021_52 2021-05-11 fwi.npy
2021,2021_52,2021_52 2021-05-12 fwi.npy
2021,2021_54,2021_54 2021-05-10 fwi.npy
2021,2021_54,2021_54 2021-05-11 fwi.npy
2021,2021_54,2021_54 2021-05-12 fwi.npy
2021,2021_55,2021_55 2021-05-11 fwi.npy
2021,2021_55,2021_55 2021-05-12 fwi.npy
2021,2021_55,2021_55 2021-05-13 fwi.npy
2021,2021_55,2021_55 2021-05-14 fwi.npy
2021,2021_56,2021_56 2021-05-11 fwi.npy
2021,2021_59,2021_59 2021-05-13 fwi.npy
2021,2021_59,2021_59 2021-05-14 fwi.npy
2021,2021_7,2021_7 2021-04-04 fwi.npy
2021,2021_716,2021_716 2021-10-30 fwi.npy
2021,2021_8,2021_8 2021-04-04 fwi.npy
2021,2021_972,2021_972 2021-10-16 fwi.npy
2021,2021_972,2021_972 2021-10-17 fwi.npy
